Count of Complaint ID,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,AA,AE,AK,AL,AP,AR,AS,AZ,CA,CO,CT,DC,DE,FL,FM,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MH,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,PW,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,Grand Total
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,,2,11,102,2,49,,324,2293,209,189,83,66,1130,2,582,,64,54,47,483,135,62,77,95,347,455,66,,353,179,181,1,44,20,350,13,35,89,497,60,133,878,471,79,165,465,25,2,43,110,16,186,641,66,425,2,34,281,148,37,13,12971
Qtr2,,10,27,140,1,73,,507,3198,313,298,86,100,2401,,991,3,49,79,73,695,196,88,128,155,548,744,93,,583,261,281,1,76,32,635,9,77,249,997,86,188,1725,713,95,232,690,44,,89,208,27,245,1019,60,556,1,47,418,250,40,24,20954
Qtr3,,4,16,178,5,61,,443,3121,313,284,98,116,1692,,953,3,72,60,70,639,191,104,103,129,469,678,75,2,695,265,272,,66,44,476,7,74,147,772,89,195,1469,618,102,201,646,25,,73,179,22,242,971,83,577,6,35,405,230,59,13,18937
Qtr4,,6,24,161,3,80,2,433,3081,385,270,129,113,1783,,828,2,51,82,70,772,188,80,141,143,485,696,79,,631,231,212,,79,25,511,11,52,146,726,70,216,1382,578,102,231,656,31,,66,225,22,259,1019,113,616,3,43,347,218,50,23,18981
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,1,10,38,207,3,109,3,616,4550,452,344,155,142,2531,3,1409,2,78,92,74,957,233,84,174,170,614,971,75,1,834,343,326,3,92,46,770,26,81,196,1148,129,308,1860,807,141,290,888,36,1,90,276,32,369,1433,125,815,3,49,534,290,68,31,26538
Qtr2,2,10,34,222,13,76,,531,3945,389,338,172,142,2670,,1131,1,73,108,100,791,238,107,168,207,501,845,91,2,791,313,330,,99,26,739,15,76,154,1031,115,260,1646,714,128,271,875,36,1,51,256,30,322,1417,130,844,4,42,512,302,65,28,24530
Qtr3,,11,38,265,8,127,,652,4497,486,325,164,136,2851,2,1245,2,91,92,99,938,301,128,189,303,609,891,103,2,781,341,360,1,115,56,774,10,76,142,1138,142,305,1950,914,189,348,1035,61,,89,324,24,410,2024,137,846,5,50,602,288,64,25,28181
Qtr4,1,10,40,279,4,138,1,628,3914,506,322,188,138,2581,4,1097,3,111,110,81,962,361,155,205,266,522,925,88,2,805,295,344,1,114,38,707,18,84,125,1190,146,293,1956,834,166,347,1127,53,1,114,376,33,443,2206,141,904,6,38,577,319,62,17,27522
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,1,11,46,357,5,183,,885,5495,742,440,195,194,3641,1,1532,5,228,168,125,1344,455,228,312,354,720,1184,119,,1034,430,594,5,181,76,1132,45,131,180,1515,192,515,2581,1299,319,492,1446,75,,203,426,52,574,3212,267,1588,8,64,811,495,116,53,39081
Qtr2,2,15,44,426,8,186,,828,5521,669,413,210,248,3803,1,1422,8,133,200,133,1332,461,186,267,374,748,1250,122,4,910,399,545,2,171,69,1108,34,124,189,1654,217,396,2513,1154,238,528,1445,88,,140,493,69,510,3323,226,1265,10,70,787,392,79,53,38215
Qtr3,,22,42,363,17,158,3,792,5466,665,460,227,238,3738,3,1731,6,130,153,107,1421,449,172,309,492,726,1182,122,4,967,412,512,,231,65,1015,33,120,164,1558,198,509,2581,1213,269,409,1333,119,1,143,530,62,654,3310,201,1260,6,62,855,415,118,37,38560
Qtr4,,11,49,405,15,157,2,701,4843,579,406,229,165,3464,2,1541,,145,149,117,1245,434,163,232,359,652,1054,113,1,889,419,433,1,178,54,983,42,117,156,1443,168,488,2377,1058,290,403,1282,87,1,123,509,59,552,3237,198,1122,11,56,730,422,92,34,35247
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,,16,42,492,22,180,2,863,5512,690,444,222,204,3688,,1706,4,124,184,145,1457,423,252,299,408,706,1166,167,3,975,445,530,,213,61,1048,44,139,165,1582,215,510,2634,1310,278,478,1506,101,1,128,588,71,658,3326,250,1222,14,76,727,486,99,36,39337
Qtr2,,20,44,500,7,163,,959,6014,713,430,262,238,4067,5,1875,3,142,149,130,1552,465,169,310,493,802,1293,167,1,944,484,533,2,206,61,1203,37,129,172,1654,193,512,2889,1319,304,549,1485,104,1,130,565,43,687,3308,210,1302,8,64,904,403,107,38,41523
Qtr3,1,29,44,517,13,215,,1064,6385,762,454,268,207,4351,2,2076,9,155,187,193,1596,534,226,349,476,870,1331,161,2,1026,506,591,1,250,71,1347,42,134,177,1830,203,712,3122,1372,322,556,1655,123,,135,608,68,761,3447,238,1511,15,76,931,516,137,38,44998
Grand Total,8,187,539,4614,126,1955,13,10226,67835,7873,5417,2688,2447,44391,25,20119,51,1646,1867,1564,16184,5064,2204,3263,4424,9319,14665,1641,24,12218,5323,6044,18,2115,744,12798,386,1449,2451,18735,2223,5540,31563,14374,3022,5500,16534,1008,9,1617,5673,630,6872,33893,2445,14853,102,806,9421,5174,1193,463,455575
